epoch,train_loss,val_loss
1,5.48255204210187,4.674003934728869
2,4.666216156270244,4.101045135624153
3,4.254175278219846,3.6367978767258404
4,4.049764102048213,3.721470991113626
5,3.901950026502704,3.3223128719434922
6,3.803703947822646,3.131886530842006
7,3.741790011377618,2.8822102159179606
8,3.6456032200615005,2.955110185402484
9,3.5823299554314945,3.0728950855160546
10,3.5761579782655923,2.80804189111904
11,3.5120222875387364,2.7809720637056126
12,3.503478836305071,2.5205201117460394
13,3.4474161922341526,2.4251960657188056
14,3.4457692462618987,2.7642211973174544
15,3.3949997448685147,2.656501320111193
16,3.417169247523393,2.4239896998917763
17,3.3475663874408985,2.2978412060698203
18,3.3452123179294095,2.1394718087409155
19,3.3462241545762166,2.4621985267344915
20,3.361381891930457,2.30484407466962
21,3.320537316917193,2.231060062886598
22,3.312520957229161,2.237742693299433
23,3.276151279411694,2.137415835351655
24,3.2677464461562655,2.1942064276083113
25,3.261340013825067,2.241447771219511
26,3.227879720159096,2.3592613433018204
27,3.2229076635719527,2.146746767453911
28,3.217171624155328,2.1755090324675086
29,3.212520481336235,2.0762155147951824
30,3.1876942686515277,2.117725845867609
31,3.2003838260575095,2.1481534718810362
32,3.213716438501188,2.166967430062202
33,3.1717098797902024,2.1438572945345205
34,3.1454620054452724,2.0172082031397123
35,3.1615803548605137,2.293664186125616
36,3.129716965231565,1.9766607048097722
37,3.1367178435372836,2.1888905175789657
38,3.0995020653941845,2.0042826814099777
39,3.1089140070546972,1.9976366932398688
40,3.0899991210144346,2.067966876936353
41,3.0953445387358713,2.0454329393455146
42,3.055356840095898,2.140759571196291
43,3.0848985119621353,1.9374577545922649
44,3.0588640175243413,2.0913481259148967
45,3.0478522612316774,1.9788010061279802
46,3.046006717304192,1.896793674831548
47,3.012680450288376,1.9472308618634857
48,3.032111944538532,2.062085059063494
49,2.9985127779516842,2.126759751769137
50,3.0186371472802493,1.9960179552230626
51,3.0195356288758837,2.050974810419004
52,2.9954463160864195,2.1167443284646867
53,2.9941198070450583,1.8927992033892755
54,2.98773191943027,1.9673392963146703
55,2.945098919443565,1.8973683608136558
56,2.961353880344051,1.8918482094756828
57,2.949134380510538,1.8938016812663434
58,2.9276787786200495,1.920565986764661
59,2.9431220470088544,1.9006052050051938
60,2.9343225790722536,1.9215197077139021
61,2.9285033008839823,1.8736874157403782
62,2.8998087892437927,1.8688184571331854
63,2.925156564995794,1.910491595911914
64,2.9253676456980187,1.8408808878959046
65,2.87319805834553,1.987232129435894
66,2.9007613753328227,2.0159586382306314
67,2.8638751129112623,1.9739798685079106
68,2.8767747430518122,1.9893276842500882
69,2.8762840020774614,1.8775238806879553
70,2.862356721764744,1.7571331732200854
71,2.865901481987226,1.9190044580412304
72,2.8609949975910753,1.881225672635165
73,2.847143062270514,1.8233211953449513
74,2.835269585694417,1.7452877388841193
75,2.822938937952023,1.9781329474173301
76,2.833002944984058,1.8720052045238904
77,2.83902632363952,1.8632889017257481
78,2.8191426366862684,1.798447149844209
79,2.7902740865650744,1.750411648395633
80,2.8148932504181814,1.8409424741077687
81,2.7962571205479083,1.8938399083686597
82,2.79888910822349,1.853134203876674
83,2.7480103166976777,1.7629466519868078
84,2.7829811761874965,1.8550045720145065
85,2.7754740408151455,1.7964728371170926
86,2.802038341465563,1.9139177635024731
87,2.7888851189377286,1.765792140619157
88,2.7618851921345926,1.7149416664743555
89,2.7460036702675397,1.8098344494160215
90,2.748973718964227,1.7876585324605305
91,2.7525250557625647,1.8236201190423047
92,2.7441622738790983,1.8796714902252534
93,2.759488573168764,1.7027720255628433
94,2.732020928127931,1.7723671089519153
95,2.7321974759054655,1.7920183767628735
96,2.705890464310599,1.8882394881287883
97,2.7133720464045457,1.830139904311209
98,2.69465437501964,1.8660254721470773
99,2.7057141431487435,1.776392362991312
100,2.708602803768498,1.7674647546668354
101,2.706437915858656,1.8073557684244204
102,2.691365290396284,1.7933315626517472
103,2.6911997464623783,1.7270176640555222
104,2.669895087138261,1.7820004878293714
105,2.6547505737531303,1.8396908586675471
106,2.6768091621965464,2.0094349817796187
107,2.658886982662843,1.807710269922724
108,2.6326833503081066,1.884773036993568
109,2.650857920693879,1.7962127887841426
110,2.647357655043649,1.7371753969796762
111,2.6279203632090353,1.7661796456854535
112,2.619694111370804,1.8813832614047468
113,2.644691993694494,1.7152557911623278
114,2.622414197071944,1.8726407036636814
115,2.6108787579111534,1.789660187792187
116,2.6264862069989197,1.7933176092536653
117,2.6224470728694804,1.8533224901877159
118,2.595747221814524,1.768213189994665
119,2.605759362182995,1.7597036565302488
120,2.5921804314792745,1.8644874095916748
121,2.5772652342768,2.0655351026655886
122,2.6051897790172314,1.8340924002907493
123,2.578896709007792,1.8099909137431582
124,2.580276852787131,1.710803801691565
125,2.5805583708357105,1.8102797043224996
126,2.570609519977381,1.8324192154834422
127,2.57256281493914,1.7816134464642233
128,2.576951499032502,1.9655485343670385
129,2.5381417321686697,1.755180685316564
130,2.563992961798564,1.7221102862318685
131,2.5596776610553853,1.746724142515955
132,2.569821022524692,1.9215395687040218
133,2.5405334954214567,1.7294505253311032
134,2.516281618930326,1.8260098239278661
135,2.553379959399157,1.7670958718649283
136,2.548721497601802,1.8114230954614223
137,2.519426440248395,1.7720645964966661
138,2.509216835003088,1.8925552900172462
139,2.5173943172587028,1.931033808994556
140,2.507509626964531,1.8655706614502205
141,2.53446626545179,1.825017317595889
142,2.500241784766169,1.8469419715818294
143,2.5198230767014005,1.874083173504874
