epoch,train_loss,val_loss
1,5.9781173388163245,5.234435653686523
2,5.411330000559489,4.986252877977159
3,5.368101183573405,4.887282888624403
4,5.3041379928588865,4.945926509433322
5,5.2614548365275065,4.743842004140218
6,4.971582571665446,5.159190877278646
7,4.864637851715088,4.7694127125210235
8,4.645092900594076,4.386834873623318
9,4.528365993499756,4.312452286614312
10,4.392909018198649,4.3459483867221405
11,4.36865774790446,4.941515638563368
12,4.3075609842936196,4.20370221985711
13,4.235850016276042,4.865292207929823
14,4.21683562596639,4.186784317228529
15,4.06678581237793,4.644277545081245
16,4.023251597086588,4.32358580271403
17,3.9099645455678305,4.372544142405192
18,3.893685054779053,4.27203143649631
19,3.825996430714925,4.871720958285861
20,3.8457650820414226,4.251077535417345
21,3.936929130554199,4.921331882476807
22,3.912172492345174,4.216335752275255
23,3.7916419506073,4.110909799999661
24,3.772737805048625,4.323371490902371
25,3.6549859841664634,4.947224947611491
26,3.6443931579589846,4.50888796488444
27,3.6080450375874835,4.930828350914849
28,3.5939667224884033,4.635061467488606
29,3.6377436955769857,4.686281079186333
30,3.6390325387318927,4.55061646355523
31,3.595285733540853,4.366310030619303
32,3.5098952929178875,4.878385796017117
33,3.555693785349528,4.707495541042752
34,3.4128173192342124,4.93950311448839
35,3.372571341196696,4.362898686726888
36,3.3580896536509197,4.380837593078613
37,3.405835994084676,4.521576370663113
38,3.3893014748891193,4.664178123474121
39,3.393054405848185,4.563093448215061
40,3.3214146773020428,4.634437141418457
41,3.2564356644948322,4.293960742950439
42,3.25659392674764,4.428194770812988
43,3.194692675272624,4.594422456953261
44,3.1927827835083007,4.88579288482666
45,3.259554894765218,4.5935936313205294
46,3.17482369740804,4.514895333184136
47,3.107086658477783,4.2830965614318846
48,3.169287172953288,4.623247617085775
49,3.123246606190999,4.462783654530843
50,3.106009912490845,4.253839700486925
51,3.10628825823466,4.363389080895318
52,3.0132813771565754,4.893927991655138
53,3.186112133661906,4.871887883080377
54,3.027932627995809,4.9177611774868435
55,3.074909035364787,4.217134624057346
56,2.936269744237264,4.974178371429443
57,3.0804659525553384,4.437096773783366
58,3.0225524425506594,4.1719705041249595
59,3.023666842778524,4.414750049379137
60,2.9080955187479653,4.4297546259562175
61,2.8567285855611164,4.487797989315457
62,2.9482131640116376,4.130967138078478
63,2.884163729349772,4.893610079023573
64,2.9999752680460614,4.26610379325019
65,2.880107816060384,4.598873551686605
66,2.8574742635091144,4.603582310146756
67,2.8585850556691486,4.7208253457811145
68,2.8064488887786867,4.595128888024224
69,2.861656936009725,5.1798335689968535
70,2.9559367656707765,4.279228941599528
71,2.8514387607574463,4.39229384528266
72,2.8131229718526205,4.198338707817926
73,2.7314634482065836,4.603024152119954
