epoch,train_loss,val_loss
1,5.58335716828056,4.983236478379935
2,5.151003194891888,4.778617108820555
3,4.972610888273819,4.601101119984609
4,4.664839018946108,4.204363963492317
5,4.35239663331405,3.931583365132986
6,4.173323372135991,3.915235083293652
7,4.0676213865694795,3.684718233166319
8,3.8350986916085947,3.5079187433910106
9,3.739768950835518,3.38248526623098
10,3.6603833074155063,3.5044173537535444
11,3.5998815557231074,3.3601869623851512
12,3.525293370951777,3.4431722223266097
13,3.4105627951414688,3.209223305226686
14,3.4032240328581436,3.398720370179694
15,3.36910373231639,3.1449561454047843
16,3.303015491236811,3.1567522330060807
17,3.2405498131461767,3.1170839488342117
18,3.200975003449813,3.0174382008796883
19,3.178465511487878,3.0740049056113588
20,3.1759399642115054,3.3692890481186963
21,3.410768477813057,3.130414736829185
22,3.226824998855591,3.1118484101676414
23,3.1368183053058125,2.9185865529640975
24,3.00920758040055,2.8538726683162134
25,2.9815341078716777,2.7722414071894876
26,2.975204447041387,2.7834752052611886
27,2.849363316660342,2.835503845503836
28,2.7823860230653183,2.6133241873470547
29,2.767833745997885,2.7824886909201125
30,2.817019970520683,2.6646292101253164
31,2.697399616241455,2.716013140914854
32,2.8787829357644785,2.8391761310172803
33,2.8557264701179834,2.690435673579697
34,2.657227070435234,2.9294577314833963
35,2.8293285991834556,2.5404206041462167
36,2.63270262013311,2.5668569891905983
37,2.6169862747192383,2.5731185162362973
38,2.620571115742559,2.548512844343159
39,2.649853633797687,2.613402981075045
40,2.6148930217908775,2.4869022126368585
41,2.59858224702918,2.5569822374454216
42,2.59182900449504,2.7766319986217276
43,2.6177601140478384,2.3997168823378803
44,2.467562716940175,2.3266877967135637
45,2.509060341378917,2.421917468719903
46,2.644459289053212,2.705793322282061
47,2.5996687930563223,2.3525323309517434
48,2.468893424324367,2.4128553584915875
49,2.413513235423876,2.4282069183249777
50,2.353326880413553,2.343815905988709
51,2.480720229770826,2.4360488068630546
52,2.43738069223321,2.433478483812211
53,2.34472117734992,2.306620778131091
54,2.4129734350287397,2.327290297211366
55,2.3465393937152363,2.3174813572040276
56,2.352942337160525,2.283671382373358
57,2.367220588352369,2.3661074487302587
58,2.332200475361036,2.339332327369816
59,2.4223694179369057,2.3884782541553506
60,2.3974009648613306,2.375578383112085
61,2.3214691981025366,2.347903315357597
62,2.357876876126165,2.4114089370102265
63,2.2390431010204814,2.2063012451508155
64,2.303395100261854,2.2869378479387477
65,2.3200814361157627,2.2298969759428795
66,2.2920213730438896,2.198018628375261
67,2.2683289673017417,2.325891781444392
68,2.176991747773212,2.235757333844818
69,2.172041353972062,2.2701007659770243
70,2.2540433769640713,2.2589401804711207
71,2.195835294930831,2.2890277736443134
72,2.2686664850815483,2.3117299713707498
73,2.247943551644035,2.3453044789553346
74,2.2760809037996377,2.295028582420559
75,2.1733010540837827,2.226215567470582
76,2.205335259437561,2.277535382052755
77,2.199017452157062,2.587140856038769
78,2.2385346734005473,2.20379690591954
79,2.2138429361840952,2.20374337864973
80,2.075907131899958,2.1015640119547356
81,2.093549666197404,2.1188331198758004
82,2.2093040787655376,2.419086609004943
83,2.1950526185657666,2.201989584061068
84,2.1728776745174243,2.274016323496816
85,2.0744966113049053,2.2213979667211694
86,2.1775334866150566,2.232780580678262
87,2.0564222802286563,2.1574787180614208
88,2.112056312353715,2.070788989218142
89,2.0717814486959707,2.0853128948815924
90,2.0192538758982783,2.3299411752007226
91,2.0704365191252334,2.1473028203344215
92,2.045270857603654,2.1318400034234544
93,2.031447690466176,2.190775328431248
94,2.0827389644539873,2.163351378821801
95,2.0963758955831113,2.1673832609633767
96,2.014413408611132,2.1332590648950625
97,2.000620396240898,2.1313663947680763
98,2.0595708878143975,2.1907002574484538
99,1.9777735368065212,2.0862459712777257
100,2.0077268040698506,2.079358312545072
101,1.9754208948301233,2.1344159762721415
102,1.9381210026533708,2.111049787400511
103,1.9740743429764458,2.0915537716271793
104,1.9424271894537883,2.1525843941475733
105,1.9989863634109497,2.1643859548673814
106,1.9739000278970469,2.0740654238656204
107,1.998071147047955,2.1139616206000986
108,1.9816402559695037,2.084895055648709
109,1.9620371642320051,2.020931086264366
110,1.9079409267591394,2.0872077825312445
111,1.8628216722737188,2.088800469541681
112,1.8884221056233281,2.0379194645185446
113,1.8822940691657688,2.0875054888488833
114,1.8959505247033162,2.155742383200275
115,1.9297279793283213,2.0560942433425544
116,1.9312249681223994,2.116803240677542
117,1.881228198175845,2.1109390833489496
118,1.9245618529941724,2.1175003572272204
119,1.8948064472364343,2.177357601068565
120,1.8886253159979116,2.075748617163046
121,1.8580667713414067,2.0435223825706923
122,1.8567927972130154,2.024495141729507
123,1.875941768936489,2.1413582987036586
124,1.7919456647789997,2.111839744670332
125,1.8459674327269844,2.054158780200422
126,1.7800300328627876,1.9674724199226736
127,1.7685926427011904,1.9295288721720378
128,1.7780567511268284,2.099892941552417
129,1.8152512337850488,2.156828645175482
130,1.7410078515177188,2.077597153252478
131,1.7973079836886863,2.1048517026848703
132,1.7258707544077998,2.0703096264978416
133,1.7636215660883032,2.0509660651204342
134,1.7224978675013003,2.0234589596425208
135,1.7490370584570842,2.0548441566054816
136,1.6887238751287046,2.084664124266832
137,1.766908453858417,2.001889386288719
138,1.730219400447348,2.451745726845481
139,1.7774331621501758,2.0625311264321824
140,1.765103023985158,2.1823585903677403
141,1.7647030223970828,2.069145886694433
142,1.7480976737063865,2.0943569887439737
143,1.7865363774092302,2.050221312472971
144,1.722148957459823,1.8976442751477245
145,1.7020460626353389,2.09535700214139
146,1.6774615308512812,2.210116033054909
147,1.6622514569241067,2.034712288333693
148,1.6649693561636882,2.039701468359997
149,1.6898841572844463,2.035268089988015
150,1.6600659334141274,2.068225860431503
151,1.665536528048308,2.0801167120289867
152,1.6208541185959526,2.072109325693987
153,1.6298346260319585,2.1156867982270633
