epoch,train_loss,val_loss
1,7.708395107932713,5.021882101852375
2,4.956933726435122,4.497882923147238
3,4.571228898089865,4.144959300017554
4,4.279299031133237,3.9056792561344538
5,4.008955789648968,3.559903672247222
6,3.751125988752946,3.4714232384337538
7,3.5998265224954356,3.195554601259468
8,3.425174547278363,3.1049395842328873
9,3.3418353329534116,3.032845135891076
10,3.294401801150778,2.9800571272195864
11,3.2142149572787075,2.9943709609922298
12,3.1781210692032524,2.9100489767458155
13,3.0983367899189824,2.804672488167923
14,3.065960220668627,2.872951020879194
15,3.0031602071679155,2.7186427917690645
16,3.0442206341287363,2.7628075321187002
17,2.968555854714435,2.6938214939159466
18,2.9852456839188286,2.737181582726723
19,2.9483962473662,2.778707179813017
20,2.906477855599445,2.6890458272508355
21,2.807063278944596,2.626849299948406
22,2.8196028108182163,2.7044233481089273
23,2.846793444260307,2.6711813181885016
24,2.7969682009323784,2.732002409364895
25,2.818746276523756,2.6045783866535532
26,2.7063040733337402,2.6388571623599892
27,2.6644852576048477,2.5139962562844773
28,2.659078380335932,2.608829355108508
29,2.6869973825371782,2.5650086173012894
30,2.6533943259197734,2.5627003918009357
31,2.6566523158031963,2.56477155895601
32,2.593481291895327,2.5942881869218897
33,2.562716473703799,2.5595677115700464
34,2.5852431214374043,2.620841699526658
35,2.525083417477815,2.5059992347538635
36,2.5220637114151665,2.51971687167144
37,2.527915156405905,2.572689531920042
38,2.473508171413256,2.479270075306748
39,2.535659406496131,2.416198365944476
40,2.5841222690499346,2.4681866280631914
41,2.4858231648154883,2.3809188975447135
42,2.460978829342386,2.5460737690781103
43,2.461884063223134,2.660731244021539
44,2.406962477642557,2.4886353574180076
45,2.3219177049139272,2.558497072251375
46,2.3237170551134194,2.4449855933176257
47,2.3967406853385596,2.651693716522091
48,2.3945528579794844,2.4397793275922455
49,2.302957322286523,2.6117554834066343
50,2.324233573416005,2.4038169994827143
51,2.2817706387975942,2.489198625580338
52,2.276513555775518,2.5024028540314394
53,2.3085025030633677,2.4820454573828328
54,2.213893895563872,2.3504918987757577
55,2.237323817999467,2.4215063812318913
56,2.247195674025494,2.5732561313744746
57,2.2255917424741,2.5588988968820283
58,2.2045983024265454,2.5571499264929907
59,2.176848800286003,2.443538640156265
60,2.222114226092463,2.4298806525458976
61,2.1698587251746138,2.601775696126554
62,2.1977906278941943,2.495689681082061
63,2.1635459920634394,2.3143804756406254
64,2.1135132727415664,2.3266361153815405
65,2.098508383916772,2.460911837491122
66,2.0804978557254956,2.3721404167574627
67,2.0922865971275,2.470060489066048
68,2.10305582958719,2.469091052851401
69,2.07630961874257,2.4241817345632337
70,2.0594722913659136,2.4850829586838232
71,2.0531885001970376,2.3901537265987765
72,1.9854736224464749,2.4487747607480723
73,2.053879411324211,2.6825455377909764
74,2.0104264176410176,2.5025832068493217
75,1.9341151921645454,2.5051467701094867
76,1.9754265443138455,2.521061485463923
77,1.948942764945652,2.534732689870619
78,1.9296881841576619,2.4183900290612677
79,1.949720605559971,2.462691609196098
80,1.924322460008704,2.593301551729523
81,1.9388318942940754,2.517112383172532
82,1.9722695454307224,2.4235491319136186
83,1.8987658697625864,2.4630804153841717
84,1.9280394937681116,2.499678522430504
85,1.9290013002312703,2.4526052658879722
86,1.8520836622818657,2.601594520994454
87,1.8474581500758296,2.6052753071482844
88,1.89367703769518,2.513362794539817
89,1.8608380193295686,2.579920316202253
90,1.8345867499061252,2.631122038055714
91,1.7872692035592121,2.566885137032543
92,1.8597305028334907,2.5734444564367456
93,1.8093874247177788,2.708206694316601
94,1.7885910272598267,2.6266842551796232
95,1.7979852220286494,2.6840048565352257
96,1.757496662761854,2.5942950570550503
97,1.7398889012958692,2.6522034961658405
98,1.7385366273962932,2.615292849291126
99,1.7382173330887505,2.789924124384058
100,1.729245258414227,2.602066870234886
101,1.750126786853956,2.6807094277100787
102,1.7119117145952971,2.685916569607317
103,1.6728479343911875,2.7514399989577365
